# license: MIT
reading	surface	left_id	right_id	word_cost	prediction_cost	flags	annotation
@component	@Component	1851	1851	7150	7450	it,predict	
@conditionalonclass	@ConditionalOnClass	1851	1851	7465	7765	it,predict	
@conditionalonmissingbean	@ConditionalOnMissingBean	1851	1851	7500	7800	it,predict	
@configuration	@Configuration	1851	1851	7290	7590	it,predict	
@container	@container	1851	1851	7270	7570	it,predict	
@controller	@Controller	1851	1851	7185	7485	it,predict	
@csvfilesource	@CsvFileSource	1851	1851	7290	7590	it,predict	
@csvsource	@CsvSource	1851	1851	7150	7450	it,predict	
@custom-media	@custom-media	1851	1851	7375	7675	it,predict	
@disabled	@Disabled	1851	1851	7115	7415	it,predict	
@emotion	@emotion/react	1851	1851	7410	7710	it,predict	
@emotion	@emotion/styled	1851	1851	7445	7745	it,predict	
@emotion/react	@emotion/react	1851	1851	7410	7710	it,predict	
@emotion/styled	@emotion/styled	1851	1851	7445	7745	it,predict	
@example	@example	1851	1851	7080	7380	it,predict	
@font-face	@font-face	1851	1851	7150	7450	it,predict	
@forall	@ForAll	1851	1851	7045	7345	it,predict	
@getter	@Getter	1851	1851	7045	7345	it,predict	
@given	@given	1851	1851	7010	7310	it,predict	
@keyframes	@keyframes	1851	1851	7150	7450	it,predict	
@layer	@layer	1851	1851	7130	7430	it,predict	
@layer	@layer specificity	1851	1851	7550	7850	it,predict	
@layerspecificity	@layer specificity	1851	1851	7550	7850	it,predict	
@media	@media	1851	1851	7130	7430	it,predict	
@methodsource	@MethodSource	1851	1851	7255	7555	it,predict	
@nested	@Nested	1851	1851	7045	7345	it,predict	
@octokit	@octokit/rest	1851	1851	7375	7675	it,predict	
@octokit/rest	@octokit/rest	1851	1851	7375	7675	it,predict	
@parameterizedtest	@ParameterizedTest	1851	1851	7430	7730	it,predict	
@primary	@Primary	1851	1851	7080	7380	it,predict	
@property	@Property	1851	1851	7115	7415	it,predict	
@qualifier	@Qualifier	1851	1851	7150	7450	it,predict	
@reduxjs	@reduxjs/toolkit	1851	1851	7480	7780	it,predict	
@reduxjs/toolkit	@reduxjs/toolkit	1851	1851	7480	7780	it,predict	
@repeatedtest	@RepeatedTest	1851	1851	7255	7555	it,predict	
@repository	@Repository	1851	1851	7185	7485	it,predict	
@responsebody	@ResponseBody	1851	1851	7255	7555	it,predict	
@restcontroller	@RestController	1851	1851	7325	7625	it,predict	
@service	@Service	1851	1851	7080	7380	it,predict	
@setter	@Setter	1851	1851	7045	7345	it,predict	
@settings	@settings	1851	1851	7115	7415	it,predict	
@supports	@supports	1851	1851	7115	7415	it,predict	
@tag	@Tag	1851	1851	6940	7240	it,predict	
@tanstack	@tanstack/react-query	1851	1851	7620	7920	it,predict	
@tanstack	@tanstack/router	1851	1851	7480	7780	it,predict	
@tanstack/react-query	@tanstack/react-query	1851	1851	7620	7920	it,predict	
@tanstack/router	@tanstack/router	1851	1851	7480	7780	it,predict	
@test	@Test	1851	1851	6975	7275	it,predict	
@testfactory	@TestFactory	1851	1851	7220	7520	it,predict	
@testing-library	@testing-library/react	1851	1851	7620	7920	it,predict	
@testing-library/react	@testing-library/react	1851	1851	7620	7920	it,predict	
@testtemplate	@TestTemplate	1851	1851	7255	7555	it,predict	
@valuesource	@ValueSource	1851	1851	7220	7520	it,predict	
a11y	a11y	1851	1851	7060	7360	it,predict	
aab	AAB	1851	1851	6905	7205	it,predict	
aad	AAD	1851	1851	7025	7325	it,predict	
aad	AAD B2C	1851	1851	7165	7465	it,predict	
aad	AAD Connect	1851	1851	7305	7605	it,predict	
aad	AAD DS	1851	1851	7130	7430	it,predict	
aad	AAD Tenant	1851	1851	7270	7570	it,predict	
aadb2c	AAD B2C	1851	1851	7165	7465	it,predict	
aadconnect	AAD Connect	1851	1851	7305	7605	it,predict	
aadds	AAD DS	1851	1851	7130	7430	it,predict	
aadtenant	AAD Tenant	1851	1851	7270	7570	it,predict	
abac	ABAC	1851	1851	6940	7240	it,predict	
abnormal	abnormal path	1851	1851	7375	7675	it,predict	
abnormalpath	abnormal path	1851	1851	7375	7675	it,predict	
abolishment	Abolishment	1851	1851	7305	7605	it,predict	
abort	Abort Signal	1851	1851	7340	7640	it,predict	
abortcontroller	AbortController	1851	1851	7325	7625	it,predict	
abortcontroller	AbortController API	1851	1851	7585	7885	it,predict	
abortcontrollerapi	AbortController API	1851	1851	7585	7885	it,predict	
aborted	Aborted test	1851	1851	7340	7640	it,predict	
abortedtest	Aborted test	1851	1851	7220	7520	it,predict	
abortsignal	Abort Signal	1851	1851	7340	7640	it,predict	
abortsignal	AbortSignal	1851	1851	7185	7485	it,predict	
above	Above the Fold	1851	1851	7410	7710	it,predict	
abovethefold	Above the Fold	1851	1851	7290	7590	it,predict	
absence	Absence Compensation	1851	1851	7620	7920	it,predict	
absencecompensation	Absence Compensation	1851	1851	7620	7920	it,predict	
absolute	absolute positioning	1851	1851	7620	7920	it,predict	
absolutepositioning	absolute positioning	1851	1851	7620	7920	it,predict	
abstain	Abstain	1851	1851	7165	7465	it,predict	
abstract	Abstract Factory	1851	1851	7480	7780	it,predict	
abstract	abstract class	1851	1851	7410	7710	it,predict	
abstractclass	abstract class	1851	1851	7290	7590	it,predict	
abstractfactory	Abstract Factory	1851	1851	7480	7780	it,predict	
abstraction	Abstraction	1851	1851	7305	7605	it,predict	
accent-color	accent-color	1851	1851	7220	7520	it,predict	
accentcolor	accent-color	1851	1851	7340	7640	it,predict	
